lexeme_id,POS,frequency,frequency_Antiquitas,frequency_AetasPatrum,frequency_MediumAeuum,frequency_RecentiorLatinitas
autumnus_n,noun,1323,681,298,328,16
autumo_v,verb,552,71,167,269,45
auus_n,noun,6743,1236,2582,2873,52
auxilior/-o_v,verb,7006,892,2582,3335,197
auxilium_n,noun,26354,3890,9004,12764,696
axis_n,noun,1858,530,517,285,526
"ba\lo""_v",verb,298,72,89,136,1
bacchor/-o_v,verb,591,197,228,141,25
balneum_n,noun,1555,529,345,574,107
barba_n,noun,4217,513,753,2903,48
barbarus_n,noun,4376,1268,1965,1077,66
basio_v,verb,138,100,16,16,6
belligero/-or_v,verb,445,63,204,158,20
bello/-or_v,verb,13222,4100,4542,4284,296
bellum_n,noun,48905,18756,15816,12891,1442
belua_n,noun,1653,648,634,353,18
benedico_v,verb,31548,10,10639,20794,105
benefacio_v,verb,3850,181,1011,2505,153
beneficium_n,noun,27939,4665,8153,14238,883
beo_v,verb,135844,2858,38727,93248,1011
bibo_v,verb,25288,2177,9507,13425,179
blandior/-io_v,verb,4240,370,1818,1997,55
bonum_n,noun,293247,12572,91243,182668,6764
bos_n,noun,6778,1071,2617,3012,78
bracchium_n,noun,1807,1124,403,280,0
bullio_v,verb,406,20,118,234,34
cachinno_v,verb,177,14,56,107,0
caco_v,verb,98,65,5,26,2
cacumen_n,noun,2252,752,617,850,33
cadauer_n,noun,4530,643,1894,1913,80
cado_v,verb,27803,3143,9425,14601,634
caeco_v,verb,2656,285,1327,1011,33
caedes_n,noun,5363,2605,2004,675,79
caedo_v,verb,20899,5865,8639,6319,76
caelum_n,noun,97871,6385,44324,44964,2198
calamitas_n,noun,3259,731,1249,1138,141
calco_v,verb,6925,695,3353,2823,54
calefio_v,verb,350,21,54,245,30
caleo_v,verb,1680,456,562,630,32
calesco_v,verb,381,67,107,171,36
caligo_n,noun,3097,363,1278,1391,65
caligo_v,verb,1929,186,768,957,18
calleo_v,verb,849,114,278,401,56
calo_v,verb,2827,347,552,1571,357
calor_n,noun,9187,730,1758,5206,1493
calumnior/-o_v,verb,4126,167,2323,1585,51
campus_n,noun,8032,2583,2835,2455,159
candeo_v,verb,2366,740,703,842,81
candesco_v,verb,101,12,46,37,6
caneo_v,verb,6146,1011,2249,2796,90
canesco_v,verb,139,36,56,38,9
canis_n,noun,11311,2380,3616,5044,271
cano_v,verb,17668,2920,5884,8543,321
canto_v,verb,13288,682,4823,7726,57
cantus_n,noun,6720,1248,1435,3858,179
capesso_v,verb,1425,517,491,320,97
capillus_n,noun,4746,911,1688,2119,28
capio_v,verb,62133,13598,20951,26001,1583
captiuus_n,noun,5469,821,2279,2325,44
capto/-or_v,verb,4842,1348,1521,1770,203
caput_n,noun,69847,9419,25179,33722,1527
carcer_n,noun,5323,531,2280,2430,82
cardo_n,noun,1987,300,1112,521,54
careo_v,verb,28085,2058,8006,17248,773
carina_n,noun,1307,889,265,133,20
caritas_n,noun,45501,388,14211,30562,340
carmen_n,noun,8538,3230,2630,2463,215
carnifex_n,noun,1068,202,479,375,12
carpo_v,verb,2580,680,968,879,53
castellum_n,noun,5842,1070,870,3881,21
castigo_v,verb,4954,498,2161,2204,91
castro_v,verb,6522,2612,1605,2290,15
castrum_n,noun,27365,10370,5448,11497,50
casus_n,noun,34348,6128,10589,15253,2378
catena_n,noun,2991,608,1264,994,125
cateno_v,verb,589,149,232,181,27
caterua_n,noun,1600,361,628,593,18
caueo_v,verb,25076,2976,10859,10231,1010
cauillor/-o_v,verb,270,89,88,67,26
cauo_v,verb,2075,665,819,540,51
causa_n,noun,202564,25781,54938,110356,11489
causor/-o_v,verb,67479,6829,15221,42350,3079
cedo_v,verb,16181,3725,5990,5998,468
celebro_v,verb,22192,1467,7219,12931,575
celeritas_n,noun,2341,411,589,417,924
celero_v,verb,594,211,217,146,20
celo_v,verb,6215,925,1967,3269,54
cena_n,noun,3699,1269,767,1631,32
ceno/-or_v,verb,2136,839,458,828,11
censeo_v,verb,16150,3342,5637,6029,1142
census_n,noun,4995,957,2077,1861,100
centrum_n,noun,4218,264,167,1253,2534
centurio_n,noun,2711,923,944,839,5
centurio_v,verb,1090,538,282,268,2
cerno_v,verb,19224,3905,7614,7330,375
cernulo_v,verb,1,1,0,0,0
cero_v,verb,2036,1009,395,549,83
certamen_n,noun,11192,2520,5119,3449,104
certo/-or_v,verb,12955,2476,4849,4689,941
ceruix_n,noun,4258,1123,1825,1293,17
cesso_v,verb,13362,942,5051,7044,325
ceueo_v,verb,5,5,0,0,0
chorus_n,noun,736,80,400,255,1
cibus_n,noun,22652,2870,7459,11914,409
cieo_v,verb,24787,3314,8306,12774,393
cingo_v,verb,3200,1081,1144,920,55
cinis_n,noun,5830,1540,1553,2669,68
circulo/-or_v,verb,2091,145,260,1377,309
circum-amplector_v,verb,25,0,0,25,0
circumago_v,verb,914,445,330,85,54
circumcido_v,verb,5338,243,2645,2434,16
circumcludo_v,verb,180,25,61,93,1
circumcurso_v,verb,73,11,29,19,14
circumdo_v,verb,8270,1392,3175,3644,59
circumduco_v,verb,1112,197,398,454,63
circumeo_v,verb,2053,448,886,697,22
circumfero_v,verb,2633,356,901,1141,235
circumflecto_v,verb,649,8,194,447,0
circumfluo_v,verb,426,84,191,123,28
circumfodio_v,verb,174,58,56,60,0
circumfremo_v,verb,70,4,51,15,0
circumfundo_v,verb,2077,671,814,439,153
circumgredior_v,verb,19,9,10,0,0
circumiaceo_v,verb,638,29,37,364,208
circumicio_v,verb,344,184,115,37,8
circumlatro_v,verb,78,2,70,6,0
circumligo_v,verb,418,101,86,231,0
circumlino_v,verb,242,139,85,18,0
circummitto_v,verb,47,41,0,0,6
circummugio_v,verb,0,0,0,0,0
circummunio_v,verb,34,24,0,10,0
circumpendeo_v,verb,41,12,6,23,0
circumplector/-o_v,verb,392,46,135,168,43
circumpono_v,verb,1199,47,277,839,36
circumsaepio_v,verb,198,34,135,29,0
circumscindo_v,verb,2,2,0,0,0
circumscribo_v,verb,2534,283,655,1255,341
circumsedeo_v,verb,534,267,98,163,6
circumsido_v,verb,255,177,42,36,0
circumsilio_v,verb,9,9,0,0,0
circumsisto_v,verb,167,73,68,26,0
circumsono_v,verb,102,38,52,11,1
circumspecto_v,verb,353,130,127,95,1
circumspicio_v,verb,3043,496,949,1533,65
circumsto_v,verb,5596,427,1145,3887,137
circumstrepo_v,verb,155,20,66,61,8
circumtero_v,verb,1,1,0,0,0
circumuado_v,verb,5,4,1,0,0
circumuallo_v,verb,431,76,126,215,14
circumuector/-o_v,verb,9,8,1,0,0
circumuehor_v,verb,175,154,13,7,1
circumuenio_v,verb,2693,776,1075,824,18
circumuolito_v,verb,76,25,3,47,1
circumuolo_v,verb,320,38,121,161,0
circumuoluo_v,verb,235,32,11,170,22
cito_v,verb,8166,1514,2347,3850,455
ciuis_n,noun,19304,5587,4762,7980,975
ciuitas_n,noun,51761,5715,20062,24741,1243
clades_n,noun,4181,1815,1437,881,48
clamito_v,verb,1077,435,321,317,4
clamo_v,verb,22627,1023,9780,11764,60
clamor_n,noun,6819,1569,1990,3219,41
claresco_v,verb,1985,22,857,1096,10
claritudo_n,noun,365,60,122,131,52
claro_v,verb,2607,461,708,1258,180
classis_n,noun,4860,2872,683,1011,294
claudo/-or_v,verb,25624,2844,9891,12577,312
claudo_v,verb,26923,2997,10421,13186,319
claustrum_n,noun,5634,503,1157,3929,45
clementia_n,noun,8881,887,3379,4509,106
clepo_v,verb,42,34,2,6,0
clipeo_v,verb,251,99,62,87,3
clipeus_n,noun,1513,553,347,602,11
coaceruo_v,verb,1113,114,486,458,55
coaequo_v,verb,1398,57,440,893,8
coagmento_v,verb,273,86,131,5,51
coalesco_v,verb,813,126,291,217,179
coarguo_v,verb,604,189,275,137,3
coarto_v,verb,1340,89,807,437,7
coemo_v,verb,375,130,131,107,7
coeo_v,verb,4265,943,1446,1689,187
coepio_v,verb,36151,6383,17031,12345,392
coepto_v,verb,873,275,390,197,11
coerceo_v,verb,3367,793,1154,1089,331
coetus_n,noun,5434,889,2060,1839,646
cogitatio_n,noun,25477,1098,11616,10992,1771
cogito_v,verb,37880,3078,14897,13568,6337
cognitio_n,noun,19935,437,2924,14939,1635
cognosco_v,verb,93916,6690,29605,54263,3358
cogo_v,verb,25943,5176,10108,9823,836
cohaereo_v,verb,3046,372,1522,894,258
cohibeo_v,verb,3964,496,1372,1890,206
cohonesto_v,verb,53,14,25,0,14
cohors_n,noun,3462,2056,729,651,26
cohortor/-o_v,verb,1768,687,578,491,12
coinquino_v,verb,1605,13,583,1004,5
collabor_v,verb,774,99,239,388,48
collatro_v,verb,0,0,0,0,0
collaudo_v,verb,1320,60,312,926,22
collega_n,noun,3335,1604,1447,268,16
colleuo_v,verb,1,0,0,1,0
collibeo_v,verb,53,14,11,23,5
collido_v,verb,1029,136,255,620,18
colligo1_v,verb,2894,174,1074,1448,198
colligo2_v,verb,27621,2094,9880,14388,1259
collino_v,verb,87,50,21,16,0
collis_n,noun,5926,1313,2536,2046,31
colloco_v,verb,8895,640,3281,4435,539
colloquium_n,noun,3303,165,532,2408,198
colloquor_v,verb,1702,69,346,1210,77
colluceo_v,verb,55,23,16,9,7
colluctor_v,verb,270,4,90,168,8
colludo_v,verb,179,12,53,101,13
collum_n,noun,9285,2060,3164,3996,65
