cell_underspecified	cells
prf.pass.ptcp.nom.m/n.sg	prf.pass.ptcp.nom.m.sg,prf.pass.ptcp.nom.n.sg
prs.act.ptcp.gen.f/m.sg	prs.act.ptcp.gen.f.sg,prs.act.ptcp.gen.m.sg
fut.act.ptcp.dat.m/n.sg	fut.act.ptcp.dat.m.sg,fut.act.ptcp.dat.n.sg
prf.pass.ptcp.nom.m/n.sg	prf.pass.ptcp.nom.m.sg,prf.pass.ptcp.nom.n.sg
fut.act.ptcp.abl.m/n.sg	fut.act.ptcp.abl.m.sg,fut.act.ptcp.abl.n.sg
fut.act.ptcp.abl.f/m/n.pl	fut.act.ptcp.abl.f.pl,fut.act.ptcp.abl.m.pl,fut.act.ptcp.abl.n.pl
fut.ptcp.dat.m/n.sg	fut.ptcp.dat.m.sg,fut.ptcp.dat.n.sg
prf.pass.ptcp.abl.f/m/n.sg	prf.pass.ptcp.abl.f.sg,prf.pass.ptcp.abl.m.sg,prf.pass.ptcp.abl.n.sg
fut.act.ptcp.dat.m/n.sg	fut.act.ptcp.dat.m.sg,fut.act.ptcp.dat.n.sg
fut.act.ptcp.acc.m/n	fut.act.ptcp.acc.m,fut.act.ptcp.acc.n
prf.pass.ptcp.acc.m/n	prf.pass.ptcp.acc.m,prf.pass.ptcp.acc.n
prs.act.ptcp.voc.f/m.pl	prs.act.ptcp.voc.f.pl,prs.act.ptcp.voc.m.pl
fut.act.ptcp.abl.m/n.sg	fut.act.ptcp.abl.m.sg,fut.act.ptcp.abl.n.sg
prf.pass.ptcp.acc.m/n	prf.pass.ptcp.acc.m,prf.pass.ptcp.acc.n
gdv.abl.m/n.sg	gdv.abl.m.sg,gdv.abl.n.sg
fut.act.ptcp.gen.m/n.sg	fut.act.ptcp.gen.m.sg,fut.act.ptcp.gen.n.sg
fut.act.ptcp.gen.m/n.sg	fut.act.ptcp.gen.m.sg,fut.act.ptcp.gen.n.sg
